-------------------------------|---------|----------|---------|---------|-------------------------
File                           | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s       
-------------------------------|---------|----------|---------|---------|-------------------------
All files                      |   75.52 |    61.36 |   67.83 |   77.59 |                         
 src                           |   87.23 |       90 |      75 |   94.73 |                         
  App.jsx                      |    92.3 |      100 |   81.81 |   95.23 | 51                      
  OnePage.jsx                  |      75 |      100 |      50 |     100 |                         
  main.jsx                     |       0 |      100 |     100 |       0 | 7                       
  scrollFadeIn.js              |     100 |       50 |     100 |     100 | 6                       
 src/components                |   69.11 |    55.27 |   58.77 |   71.12 |                         
  AdminDashboard.jsx           |   59.45 |       50 |      30 |   66.66 | 32-43,76                
  CustomYouTubePlayer.jsx      |       0 |        0 |       0 |       0 | 4-160                   
  ErrorBoundary.jsx            |   66.66 |       50 |      50 |   66.66 | 10,19                   
  FamilyTree.jsx               |     100 |      100 |     100 |     100 |                         
  KeepsakesSection.jsx         |     100 |      100 |     100 |     100 |                         
  LandingPage.jsx              |     100 |      100 |     100 |     100 |                         
  LoadingScreen.jsx            |     100 |      100 |     100 |     100 |                         
  MemoryWall.jsx               |     100 |       90 |     100 |     100 | 48,72                   
  ModerationCard.jsx           |      20 |        0 |       0 |      20 | 4-23,27-58              
  MusicPlayer.jsx              |   73.77 |    73.33 |   41.17 |   79.62 | 44,48,71-74,131-136     
  NotificationBanner.jsx       |     100 |      100 |     100 |     100 |                         
  OrientationOverlay.jsx       |   93.75 |      100 |   83.33 |     100 |                         
  PasswordPrompt.jsx           |     100 |      100 |     100 |     100 |                         
  PhotoGallery.jsx             |   74.35 |    76.19 |      50 |   76.31 | 24,26,30,41,45-47,51-52 
  StayInTouchSection.jsx       |     100 |      100 |     100 |     100 |                         
  ThankYouSection.jsx          |     100 |      100 |     100 |     100 |                         
  TimelineSection.jsx          |     100 |      100 |     100 |     100 |                         
  UploadForm.jsx               |   95.74 |    88.88 |     100 |   95.74 | 33-34                   
  VideoModal.jsx               |      80 |    70.83 |    90.9 |   87.87 | 29-30,32-33             
  VideoPlayer.jsx              |   96.42 |    88.88 |     100 |     100 | 12                      
  WeddingHighlightsSection.jsx |       0 |      100 |       0 |       0 | 5-29                    
 src/page-components           |   91.17 |       78 |   89.28 |   91.17 |                         
  AdminPage.jsx                |   66.66 |      100 |      50 |   66.66 | 11-12                   
  AlbumPage.jsx                |     100 |    77.77 |     100 |     100 | 28,72-82                
  FamilyTreePage.jsx           |    87.5 |       40 |      80 |    87.5 | 51                      
  GuestbookPage.jsx            |   86.84 |    88.23 |     100 |   86.84 | 48-53                   
  HomePage.jsx                 |     100 |      100 |     100 |     100 |                         
  MapPage.jsx                  |   93.75 |       75 |      75 |   93.75 | 67                      
  WeddingPartyPage.jsx         |     100 |      100 |     100 |     100 |                         
 src/services                  |     100 |       80 |     100 |     100 |                         
  api.js                       |     100 |       80 |     100 |     100 | 4                       
-------------------------------|---------|----------|---------|---------|-------------------------
